"Rank","Title","Description","Runtime","Genre","Rating","Metascore","Votes","Gross_Earning_in_Mil","Director","Actor","Year"
1,"The Shawshank Redemption","Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",142,"Crime",9.3,80,1934970,28.34,"Frank Darabont","Tim Robbins",1994
2,"The Godfather","The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.",175,"Crime",9.2,100,1323670,134.97,"Francis Ford Coppola","Marlon Brando",1972
3,"The Dark Knight","When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham, the Dark Knight must accept one of the greatest psychological and physical tests of his ability to fight injustice.",152,"Action",9,82,1905413,534.86,"Christopher Nolan","Christian Bale",2008
4,"The Godfather: Part II","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",202,"Crime",9,85,914854,57.3,"Francis Ford Coppola","Al Pacino",1974
5,"Pulp Fiction","The lives of two mob hitmen, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",154,"Crime",8.9,94,1511653,107.93,"Quentin Tarantino","John Travolta",1994
6,"Schindler's List","In German-occupied Poland during World War II, Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazi Germans.",195,"Biography",8.9,93,997570,96.07,"Steven Spielberg","Liam Neeson",1993
7,"The Lord of the Rings: The Return of the King","Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.",201,"Adventure",8.9,94,1381275,377.85,"Peter Jackson","Elijah Wood",2003
8,"Il buono, il brutto, il cattivo","A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.",161,"Western            ",8.9,90,574055,6.1,"Sergio Leone","Clint Eastwood",1957
9,"12 Angry Men","A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.",96,"Crime",8.9,96,536439,NA,"Sidney Lumet","Henry Fonda",1966
10,"Inception","A thief, who steals corporate secrets through the use of dream-sharing technology, is given the inverse task of planting an idea into the mind of a CEO.",148,"Action",8.8,74,1692709,292.58,"Christopher Nolan","Leonardo DiCaprio",2010
11,"The Lord of the Rings: The Fellowship of the Ring","A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.",178,"Adventure",8.8,92,1400549,315.54,"Peter Jackson","Elijah Wood",2001
12,"Forrest Gump","The presidencies of Kennedy and Johnson, Vietnam, Watergate, and other history unfold through the perspective of an Alabama man with an IQ of 75.",142,"Drama",8.8,82,1464979,330.25,"Robert Zemeckis","Tom Hanks",1994
13,"Fight Club","An insomniac office worker, looking for a way to change his life, crosses paths with a devil-may-care soapmaker, forming an underground fight club that evolves into something much, much more.",139,"Drama            ",8.8,66,1549429,37.03,"David Fincher","Brad Pitt",1999
14,"Star Wars: Episode V - The Empire Strikes Back","After the rebels are overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda. His friends accept shelter from a questionable ally as Darth Vader hunts them in a plan to capture Luke.",124,"Action",8.8,82,973239,290.48,"Irvin Kershner","Mark Hamill",1980
15,"Goodfellas","The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",146,"Biography",8.7,89,834787,46.84,"Martin Scorsese","Robert De Niro",1990
16,"The Matrix","A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.",136,"Action",8.7,73,1389987,171.48,"Lana Wachowski","Keanu Reeves",1999
17,"The Lord of the Rings: The Two Towers","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",179,"Adventure",8.7,87,1250370,342.55,"Peter Jackson","Elijah Wood",2002
18,"One Flew Over the Cuckoo's Nest","A criminal pleads insanity after getting into trouble again and once in the mental institution rebels against the oppressive nurse and rallies up the scared patients.",133,"Drama            ",8.7,80,771930,112,"Milos Forman","Jack Nicholson",1975
19,"Shichinin no samurai","A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.",207,"Adventure",8.7,98,262172,0.27,"Akira Kurosawa","Toshirô Mifune",1954
20,"Interstellar","A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.",169,"Adventure",8.6,74,1160405,188.02,"Christopher Nolan","Matthew McConaughey",2014
21,"Léon","Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. Léon and Mathilda form an unusual relationship, as she becomes his protégée and learns the assassin's trade.",110,"Crime",8.6,64,844425,19.5,"Luc Besson","Jean Reno",1995
22,"The Silence of the Lambs","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",118,"Crime",8.6,85,1033711,130.74,"Jonathan Demme","Jodie Foster",1977
23,"Saving Private Ryan","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",169,"Drama",8.6,90,1019794,216.54,"Steven Spielberg","Tom Hanks",1994
